status/scripts,REPORTID,USERID,REPORTTYPEID,ADDEDBY,HOSTID,LATITUDE,LONGITUDE,RADIUSIMPACT,DESCRIPTION,PRICE,REPORTSTATUSID,DATE,TIME,CREATEDTIME,LASTMODIFIEDTIME,ADDRESS,TOTALNUMBERINJURED,TOTALNUMBERKILLED,VEHICLETYPECODE
,,,,,,5213483.55201,-7911720.94235,,,,,2016-01-29,12:15:00,,,,,,
,,,,,,5204751.14547,-7911637.91483,,,,,2016-01-29,04:04:00,,,,,,
,,,,,,5204751.14547,-7911637.91483,,,,,2016-01-29,04:20:00,,,,,,
,,,,,,5213270.69808,-7913207.36151,,,,,2016-01-29,04:45:00,,,,,,
,,,,,,5205141.9435,-7916713.15804,,,,,2016-01-29,06:05:00,,,,,,
,,,,,,5216860.40695,-7918435.60646,,,,,2016-01-29,10:56:00,,,,,,
,,,,,,5214279.55661,-7912009.42637,,,,,2016-01-30,02:11:00,,,,,,
,,,,,,5213046.07173,-7910871.17312,,,,,2016-01-30,02:50:00,,,,,,
,,,,,,5216871.40654,-7911175.3323,,,,,2016-01-30,02:50:00,,,,,,
,,,,,,5212381.71218,-7909929.98764,,,,,2016-01-30,11:27:00,,,,,,
,,,,,,5206460.49094,-7913172.03703,,,,,2016-01-30,03:19:00,,,,,,
,,,,,,5214094.75213,-7918971.14241,,,,,2016-01-31,12:17:00,,,,,,
,,,,,,5208286.26278,-7912052.19933,,,,,2016-01-31,03:31:00,,,,,,
,,,,,,5207405.66624,-7911064.861,,,,,2016-01-31,12:56:00,,,,,,
,,,,,,5217913.67885,-7908024.00934,,,,,2016-01-31,08:21:00,,,,,,
,,,,,,5211283.66346,-7912179.42352,,,,,2016-01-31,09:47:00,,,,,,
,,,,,,5213999.58634,-7922896.96893,,,,,2016-02-01,07:20:47,,,,,,
,,,,,,5202873.98326,-7916762.2491,,,,,2016-02-01,08:25:03,,,,,,
,,,,,,5209603.30403,-7909837.15771,,,,,2016-02-01,08:35:23,,,,,,
,,,,,,5211442.93735,-7911904.06343,,,,,2016-02-01,10:47:48,,,,,,
,,,,,,5201161.18247,-7920618.36604,,,,,2016-02-01,11:07:58,,,,,,
,,,,,,5210927.84574,-7916057.93929,,,,,2016-02-01,03:55:20,,,,,,
,,,,,,5206387.48591,-7911652.09657,,,,,2016-02-01,06:06:58,,,,,,
,,,,,,5203119.376,-7921291.13466,,,,,2016-02-02,08:37:32,,,,,,
,,,,,,5207006.73586,-7910644.00538,,,,,2016-02-02,12:00:58,,,,,,
,,,,,,5213047.88006,-7922344.87691,,,,,2016-02-02,12:34:05,,,,,,
,,,,,,5201937.7322,-7919678.6033,,,,,2016-02-02,01:01:37,,,,,,
,,,,,,5201170.47836,-7922660.74765,,,,,2016-02-02,01:14:21,,,,,,
,,,,,,5215603.13421,-7910814.26441,,,,,2016-02-02,01:40:47,,,,,,
,,,,,,5210331.91134,-7912894.60313,,,,,2016-02-02,02:17:33,,,,,,
,,,,,,5213390.34386,-7921627.35105,,,,,2016-02-02,01:53:33,,,,,,
,,,,,,5211758.47489,-7907471.69506,,,,,2016-02-02,01:58:40,,,,,,
,,,,,,5213965.01177,-7918177.57789,,,,,2016-02-02,03:35:13,,,,,,
,,,,,,5207134.81803,-7911008.48578,,,,,2016-02-02,03:42:08,,,,,,
,,,,,,5213276.53176,-7911918.02087,,,,,2016-02-02,11:19:55,,,,,,
,,,,,,5208703.53065,-7911422.66558,,,,,2016-02-03,12:14:41,,,,,,
,,,,,,5213187.70555,-7913474.64335,,,,,2016-02-03,06:23:22,,,,,,
,,,,,,5208171.85332,-7914453.3663,,,,,2016-02-03,09:00:20,,,,,,
,,,,,,5201794.06145,-7915500.88544,,,,,2016-02-03,12:34:33,,,,,,
,,,,,,5209038.10671,-7910327.07612,,,,,2016-02-03,02:37:40,,,,,,
,,,,,,5200189.90701,-7916409.03093,,,,,2016-02-03,03:16:33,,,,,,
,,,,,,5212530.38562,-7919482.06981,,,,,2016-02-03,07:50:08,,,,,,
,,,,,,5207371.00547,-7912877.0795,,,,,2016-02-03,10:06:55,,,,,,
,,,,,,5212425.00314,-7913763.33182,,,,,2016-02-04,09:08:21,,,,,,
,,,,,,5204514.22483,-7911435.41569,,,,,2016-02-04,10:20:44,,,,,,
,,,,,,5211116.89424,-7912868.84099,,,,,2016-02-04,10:50:31,,,,,,
,,,,,,5214871.8004,-7920789.68656,,,,,2016-02-04,01:42:28,,,,,,
,,,,,,5214172.21735,-7919268.16866,,,,,2016-02-04,06:12:03,,,,,,
,,,,,,5207757.19211,-7915097.95956,,,,,2016-02-04,07:02:05,,,,,,
,,,,,,5199476.78104,-7917511.10329,,,,,2016-02-05,02:34:06,,,,,,
,,,,,,5213264.747,-7911384.10046,,,,,2016-02-05,05:02:59,,,,,,
,,,,,,5213595.34825,-7913883.97693,,,,,2016-02-05,09:51:07,,,,,,
,,,,,,5213719.87829,-7918310.8567,,,,,2016-02-05,11:15:55,,,,,,
,,,,,,5202556.82547,-7917639.33759,,,,,2016-02-05,11:51:19,,,,,,
,,,,,,5202556.82547,-7917639.33759,,,,,2016-02-05,12:04:59,,,,,,
,,,,,,5218672.98284,-7911821.97672,,,,,2016-02-05,12:20:49,,,,,,
,,,,,,5203008.8466,-7911496.48857,,,,,2016-02-05,12:28:48,,,,,,
,,,,,,5207730.77483,-7914974.34106,,,,,2016-02-05,03:25:07,,,,,,
,,,,,,5208214.07854,-7911390.28999,,,,,2016-02-05,08:34:30,,,,,,
,,,,,,5210440.47777,-7909541.49329,,,,,2016-02-06,03:49:00,,,,,,
,,,,,,5208402.1808,-7911074.69982,,,,,2016-02-06,01:10:26,,,,,,
,,,,,,5208402.1808,-7911074.69982,,,,,2016-02-06,01:40:12,,,,,,
,,,,,,5209105.09729,-7912340.26605,,,,,2016-02-06,02:13:35,,,,,,
,,,,,,5204533.87193,-7909074.10274,,,,,2016-02-06,02:42:08,,,,,,
,,,,,,5210473.90739,-7910158.64792,,,,,2016-02-06,05:21:43,,,,,,
,,,,,,5210473.90739,-7910158.64792,,,,,2016-02-06,05:31:24,,,,,,
,,,,,,5210857.88765,-7916093.10332,,,,,2016-02-06,08:57:06,,,,,,
,,,,,,5203661.59568,-7913874.41372,,,,,2016-02-06,10:32:12,,,,,,
,,,,,,5206320.37741,-7912163.51723,,,,,2016-02-06,10:48:27,,,,,,
,,,,,,5215094.4225,-7919952.19974,,,,,2016-02-07,02:39:47,,,,,,
,,,,,,5213811.42744,-7912381.55268,,,,,2016-02-07,05:45:27,,,,,,
,,,,,,5207601.49659,-7912479.55348,,,,,2016-02-07,11:25:28,,,,,,
,,,,,,5213178.21822,-7915011.41323,,,,,2016-02-07,05:29:49,,,,,,
,,,,,,5218043.93491,-7906240.72388,,,,,2016-02-07,05:43:32,,,,,,
,,,,,,5218043.93491,-7906240.72388,,,,,2016-02-07,05:49:47,,,,,,
